,CODE,NOM,DCI1,DOSAGE1,UNITE_DOSAGE1,FORME,PRESENTATION,PPV,PH,PRIX_BR,PRINCEPS_GENERIQUE,TAUX_REMBOURSEMENT
0,6118001230068,URO / EAU POUR IRRIGATION,EAU POUR PREPARATION INJECTABLE,3000,ML,SOLUTION POUR IRRIGATION,1 POCHE 3 L,95.00,-,95.00,P,0%
1,6118010116230,ELOXATINE 5 MG/ML,OXALIPLATINE,200,MG,SOLUTION A DILUER POUR PERFUSION,1 BOITE 1 FLACON 40 ML,2882.00,2555.00,2882.00,P,70%
2,6118001081646,ELOXATINE 5 MG/ML,OXALIPLATINE,200,MG,SOLUTION A DILUER POUR PERFUSION,1 BOITE 1 FLACON 40 ML,2882.00,2555.00,2882.00,P,70%
3,6118001182459,VIVALAN,VILOXAZINE,100,MG,COMPRIME PELLICULE,1 BOITE 20 COMPRIME,60.70,40.10,60.70,P,0%
4,6118000120155,ZADRYL,CETIRIZINE,1,MG,SOLUTION BUVABLE,1 FLACON 60 ML,31.90,19.90,31.90,G,70%
5,6118000241256,MYNAZOL,FLUCONAZOLE,50,MG,GELULE,1 BOITE 7 GELULE,87.00,54.20,87.00,G,70%
6,6118000091974,ALFACEFAL 125 MG/5 ML,CEFACLOR,1.5,G,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,45.00,29.80,45.00,G,0%
7,6118000041344,NOCAND 50 MG,FLUCONAZOLE,50,MG,GELULE,1 BOITE 7 GELULE,35.00,21.80,35.00,G,70%
8,6118000100270,MEDIATOR,BENFLUOREX,150,MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME,60.00,39.70,60.00,P,0%
9,6118000071068,GASTROLIBER,LANSOPRAZOLE,30,MG,GELULE GASTRO-RESISTANTE,1 BOITE 15 GELULE GASTRO-RESISTANTE,75.00,46.70,75.00,G,70%
10,6118000180142,CLOFENE,DICLOFENAC,25,MG,COMPRIME ENROBE GASTRO-RESISTANT,1 BOITE 20 COMPRIME,20.50,12.80,20.00,P,70%
11,6118001170456,ZELDOX,ZIPRASIDONE,40,MG,GELULE,1 BOITE 14 GELULE,318.00,211.00,318.00,P,70%
12,6118001170333,TRIFLUCAN,FLUCONAZOLE,2,MG,SOLUTION POUR PERFUSION,1 FLACON 50 ML,144.30,89.80,144.10,P,70%
13,6118000031079,AVT,ACIDE ACETYLSALICYLIQUE / THIAMINE (VITAMINE B1),600 / 5,MG / MG,SUPPOSITOIRE,1 BOITE 10 SUPPOSITOIRE,10.50,6.90,10.50,G,0%
14,6118000150121,KLONOPIN,CLONAZEPAM,2,MG,COMPRIME QUADRISECABLE,1 BOITE 40 COMPRIME,41.20,25.70,41.20,P,70%
15,6118000032182,HYDROXO 5000,HYDROXOCOBALAMINE,5000,µG,SOLUTION INJECTABLE,1 BOITE 4 AMPOULE,58.50,38.70,58.50,P,0%
16,6118000140160,DISPAMOX,AMOXICILLINE,500,MG,COMPRIME DISPERSIBLE,1 BOITE 12 COMPRIME,34.60,21.50,34.60,G,70%
17,6118000180418,MUSARIL,TETRAZEPAM,50,MG,COMPRIME ENROBE,1 BOITE 20 COMPRIME,51.80,34.30,51.80,G,0%
18,6118000100225,PRETERAX,INDAPAMIDE / PERINDOPRIL,0.625 / 2,MG / MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,239.00,-,239.00,P,70%
19,6118001080304,CLAFORAN,CEFOTAXIME,1,G,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,69.00,43.00,69.00,P,70%
20,6118000080497,RHINOFEBRAL,PARACETAMOL / CHLORPHENAMINE,240 / 3.2,MG / MG,GELULE,1 BOITE 20 GELULE,14.30,9.50,14.30,P,0%
21,6118000091547,RIFASONE,RIFAMYCINE / PREDNISOLONE,0.25 / 1,G / G,POMMADE,1 TUBE 5 G,12.00,-,12.00,G,0%
22,6118000240426,FLUIBRON,AMBROXOL,0.3,%,SOLUTION BUVABLE,1 FLACON 200 ML,38.85,25.70,38.85,G,0%
23,6118000160168,AMOXIL,AMOXICILLINE,500,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,38.90,24.30,38.90,P,70%
24,6118000240150,BENCLAMID,GLIBENCLAMIDE,5,MG,COMPRIME,1 BOITE 60 COMPRIME,36.20,22.60,36.20,G,70%
25,6118000250357,UNASYN,AMPICILLINE / SULBACTAM,1 / 0.5,G / G,POUDRE POUR SOLUTION INJECTABLE,1 FLACON 3.2 ML,42.00,26.20,42.00,P,70%
26,6118000060451,LASILIX,FUROSEMIDE,20,MG,SOLUTION INJECTABLE,1 AMPOULE 2 ML,7.40,4.60,5.60,P,70%
27,6118010020155,DILATOR,SALBUTAMOL,2.5,MG,SOLUTION POUR INHALATION PAR NEBULISEUR,1 BOITE 10 RECIPIENT,41.20,25.70,41.20,G,70%
28,6118001101597,DILATOR,SALBUTAMOL,2.5,MG,SOLUTION POUR INHALATION PAR NEBULISEUR,1 BOITE 10 RECIPIENT,41.20,25.70,41.20,G,70%
29,6118010024320,FORMOFTIL,FORMOCORTAL,0.05,%,COLLYRE,1 FLACON .5 ML,17.80,-,17.80,G,0%
30,6118000080275,GENTAGAM 120,GENTAMICINE,120,MG,SOLUTION INJECTABLE,1 BOITE 1 AMPOULE INJECTABLE,15.80,9.80,15.80,G,70%
31,6118001070763,UMILINE PROFIL 30 PEN,INSULINE HUMAINE,100,UI,SUSPENSION INJECTABLE INTERMEDIAIRE,1 CARTOUCHE 3 ML,104.00,65.00,104.00,P,70%
32,6118000060567,BIRODOGYL,SPIRAMYCINE / METRONIDAZOLE,1.5 / 250,MUI / MG,COMPRIME PELLICULE,1 BOITE 15 COMPRIME,102.00,63.50,79.90,P,70%
33,6118000041207,GLEMA,GLIMEPIRIDE,2,MG,COMPRIME,1 BOITE 30 COMPRIME,40.00,25.00,40.00,G,70%
34,6118001120475,SALAZOPYRIN,SULFASALAZINE,500,MG,COMPRIME ENROBE GASTRO-RESISTANT,1 BOITE 100 COMPRIME GASTRO-RESISTANT,141.70,88.30,141.70,P,70%
35,6118001070688,XANTHIUM LP,THEOPHYLLINE,300,MG,GELULE LP,1 BOITE 60 GELULE,51.50,32.20,51.50,G,70%
36,6118000050414,AIRLIX,CETIRIZINE,1,MG,SOLUTION BUVABLE,1 FLACON 60 ML,31.90,19.90,31.90,G,70%
37,6118000120384,GYNOMYK,BUTOCONAZOLE,100,MG,OVULE,1 BOITE 3 OVULE,62.20,41.10,62.20,P,0%
38,6118001050642,AVASTIN,BEVACIZUMAB,100,MG,SOLUTION A DILUER POUR PERFUSION,1 BOITE 1 FLACON,3983.00,3689.00,3983.00,P,70%
39,6118001230358,FLUMAX 6000 UI ANTI-XA/0.6ML,ENOXAPARINE,6000,UI ANTI-XA,SOLUTION INJECTABLE,1 BOITE 2 SERINGUE PREREMPLIE,134.60,84.10,134.60,G,70%
40,6118001182725,PARAPLATINE,CARBOPLATINE,50,MG,SOLUTION POUR PERFUSION,1 FLACON 5 ML,835.30,552.50,835.30,P,70%
41,6118001110230,TRIFAX IV,CEFTRIAXONE,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,61.00,38.00,61.00,G,70%
42,6118001121373,GLUCOVANCE,METFORMINE / GLIBENCLAMIDE,500 / 2.5,MG / MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,42.00,26.20,42.00,P,70%
43,6118000032779,IXOR,OMEPRAZOLE,10,MG,COMPRIME EFFERVESCENT,1 BOITE 28 COMPRIME,108.00,67.30,60.00,P,70%
44,6118000060499,PENICILLINE G 1 M UI DIAMANT,BENZYLPENICILLINE,1,MUI,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,10.30,-,7.65,P,70%
45,6118001180813,DIPRIVAN,PROPOFOL,500,MG,EMULSION INJECTABLE,1 BOITE 1 KIT,314.90,208.30,314.90,P,0%
46,6118001120697,NEORAL,CICLOSPORINE,100,MG,SOLUTION BUVABLE,1 FLACON 50 ML,1736.00,1452.00,1736.00,P,70%
47,6118001070954,XANTHIUM LP,THEOPHYLLINE,200,MG,GELULE LP,1 BOITE 30 GELULE,21.80,13.60,21.80,G,70%
48,6118000140870,AGIDERM,ACIDE FUSIDIQUE,2,%,POMMADE,1 TUBE 15 G,25.00,15.60,25.00,G,70%
49,6118000170211,GYNO CANESTEN,CLOTRIMAZOLE,1,%,CREME VAGINALE,1 TUBE 35 G,56.25,-,-,P,70%
50,6118001090112,CIPRO LP 500 MG,CIPROFLOXACINE,500,MG,COMPRIME PELLICULE LP,1 BOITE 3 COMPRIME PELLICULE,60.00,37.40,60.00,P,70%
51,6118000210030,CIFLOXINE,CIPROFLOXACINE,500,MG,COMPRIME ENROBE GASTRO-RESISTANT,1 BOITE 10 COMPRIME ENROBE,120.00,74.80,120.00,G,70%
52,6118000070795,SUPRIMASE,FLUCONAZOLE,150,MG,GELULE,1 BOITE 1 GELULE,29.90,18.60,29.90,G,70%
53,6118000020141,MEDIVEINE,DIOSMINE,300,MG,COMPRIME PELLICULE,1 BOITE 60 COMPRIME,62.40,-,62.40,G,0%
54,6118001120758,PURSENNIDE,SENOSIDES CALCIQUES,20,MG,COMPRIME ENROBE,1 BOITE 20 COMPRIME ENROBE,16.90,11.20,16.90,P,0%
55,6118000010814,IDEOS,CALCIUM / COLECALCIFEROL (VITAMINE D3),500 / 400,MG / UI,COMPRIME A SUCER,1 BOITE 30 COMPRIME,53.40,33.30,42.20,P,70%
56,6118001100354,NORMACOL LAVEMENT AD,PHOSPHATE MONOSODIQUE / PHOSPHATE DISODIQUE,23.66 / 10.4,G / G,SOLUTION RECTALE,1 FLACON 130 ML,26.50,17.50,26.50,P,0%
57,6118010116278,CRESTOR,ROSUVASTATINE,5,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,210.00,130.80,210.00,P,70%
58,6118001183104,CRESTOR,ROSUVASTATINE,5,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,210.00,130.80,210.00,P,70%
